timestamp,seq,rssi,file_size,status,client_ip
2026-02-17T12:23:08.229493,32,-72,512000,success,192.168.179.4
2026-02-17T12:23:21.231593,33,-73,512000,success,192.168.179.4
2026-02-17T12:23:43.194909,34,-75,512000,success,192.168.179.4
2026-02-17T12:23:52.689506,35,-75,512000,success,192.168.179.4
2026-02-17T12:24:43.436452,36,-73,512000,success,192.168.179.4
2026-02-17T12:24:50.925908,37,-81,512000,success,192.168.179.4
2026-02-17T12:24:58.001050,38,-70,512000,success,192.168.179.4
2026-02-17T12:25:03.899304,39,-69,512000,success,192.168.179.4
2026-02-17T12:25:09.360702,40,-77,512000,success,192.168.179.4
2026-02-17T12:25:14.265804,41,-57,512000,success,192.168.179.4
2026-02-17T12:25:18.569383,42,-61,512000,success,192.168.179.4
2026-02-17T12:25:22.566021,43,-69,512000,success,192.168.179.4
2026-02-17T12:25:26.660306,44,-64,512000,success,192.168.179.4
2026-02-17T12:25:30.651197,45,-58,512000,success,192.168.179.4
2026-02-17T12:25:34.066470,46,-57,512000,success,192.168.179.4
2026-02-17T12:25:37.919821,47,-44,512000,success,192.168.179.4
2026-02-17T12:25:42.019575,48,-60,512000,success,192.168.179.4
2026-02-17T12:25:46.011408,49,-65,512000,success,192.168.179.4
2026-02-17T12:25:50.208839,50,-77,512000,success,192.168.179.4
2026-02-17T12:25:54.616566,51,-62,512000,success,192.168.179.4
2026-02-17T12:28:37.248327,1,-20,512000,success,192.168.179.4
2026-02-17T12:28:41.012377,2,-17,512000,success,192.168.179.4
2026-02-17T12:28:44.903580,3,-46,512000,success,192.168.179.4
2026-02-17T12:28:48.505559,4,-30,512000,success,192.168.179.4
2026-02-17T12:28:52.277023,5,-25,512000,success,192.168.179.4
2026-02-17T12:28:55.658764,6,-22,512000,success,192.168.179.4
2026-02-17T12:28:59.137566,7,-20,512000,success,192.168.179.4
2026-02-17T12:35:26.035724,144,-77,512000,success,192.168.179.4
2026-02-17T12:35:34.326392,145,-77,512000,success,192.168.179.4
2026-02-17T12:35:41.274543,146,-65,512000,success,192.168.179.4
2026-02-17T12:35:47.332019,147,-70,512000,success,192.168.179.4
2026-02-17T12:35:56.245669,148,-80,512000,success,192.168.179.4
2026-02-17T12:36:09.982266,149,-77,512000,success,192.168.179.4
2026-02-17T12:36:15.785235,150,-63,512000,success,192.168.179.4
2026-02-17T12:36:20.186011,151,-64,512000,success,192.168.179.4
2026-02-17T12:36:24.818081,152,-73,512000,success,192.168.179.4
2026-02-17T12:37:32.947743,165,-72,512000,success,192.168.179.4
2026-02-17T12:37:42.619744,166,-67,512000,success,192.168.179.4
2026-02-17T12:37:49.595295,167,-70,512000,success,192.168.179.4
2026-02-17T12:37:55.932634,168,-77,512000,success,192.168.179.4
2026-02-17T12:38:07.608420,169,-77,512000,success,192.168.179.4
2026-02-17T12:38:15.711296,170,-73,512000,success,192.168.179.4
2026-02-17T12:38:31.469779,171,-72,512000,success,192.168.179.4
